"priority","category","owner_repo","url","source_type","collection_status","verification_note"
"P0","nnu_direct","guh0613/ehall-backend","https://github.com/guh0613/ehall-backend.git","github_repo","pending","NNU ehall/统一认证/选课入口线索"
"P0","nnu_direct","XingHeYuZhuan/shiguang_warehouse","https://github.com/XingHeYuZhuan/shiguang_warehouse.git","github_repo","pending","NJNU 金智教务适配器"
"P0","nnu_direct","ruysdv/auto-query-score-system","https://github.com/ruysdv/auto-query-score-system.git","github_repo","pending","NNU 成绩查询历史资料"
"P0","nnu_direct","imcuttle/njnu-quick-get-score","https://github.com/imcuttle/njnu-quick-get-score.git","github_repo","pending","NJNU 旧教务自动化历史资料"
"P1","same_stack","HansZ8/BIT-XK-WISEDU","https://github.com/HansZ8/BIT-XK-WISEDU.git","github_repo","pending","BIT WISEDU xsxkapp 登录与选课接口"
"P1","same_stack","tonglinggejimo/Course-Monitor-Grabber","https://github.com/tonglinggejimo/Course-Monitor-Grabber.git","github_repo","pending","CUC xsxkapp 监控/选课实现"
"P1","same_stack","davidwushi1145/YNU-xk_spider_Refactoring","https://github.com/davidwushi1145/YNU-xk_spider_Refactoring.git","github_repo","pending","YNU xsxkapp API 重构"
"P1","same_stack","YHalo-wyh/YNU-xk_spider-Pro","https://github.com/YHalo-wyh/YNU-xk_spider-Pro.git","github_repo","pending","YNU API/UI 实现"
"P1","same_stack","starwingcc/YNU-xk_spider","https://github.com/starwingcc/YNU-xk_spider.git","github_repo","pending","YNU 字段与志愿数据结构"
"P1","same_stack","GreenTeodoro839/NJU-xk-helper","https://github.com/GreenTeodoro839/NJU-xk-helper.git","github_repo","pending","NJU 当前 xsxkapp 辅助实现"
"P1","same_stack","GreenTeodoro839/NJUxklogin","https://github.com/GreenTeodoro839/NJUxklogin.git","github_repo","pending","NJU 登录模块独立实现"
"P1","same_stack","TheFunny233/NJUClassGrabber","https://github.com/TheFunny233/NJUClassGrabber.git","github_repo","pending","NJU 验证码/志愿接口线索"
"P1","same_stack","Mr-enthalpy/NJU-auto-class-rush","https://github.com/Mr-enthalpy/NJU-auto-class-rush.git","github_repo","pending","NJU 自动化实现"
"P1","same_stack","mbmcmzh/JNU_CourseSnatcher","https://github.com/mbmcmzh/JNU_CourseSnatcher.git","github_repo","pending","JNU volunteer/xkxf 线索"
"P1","same_stack","sa-y0nara/jnu-course-helper","https://github.com/sa-y0nara/jnu-course-helper.git","github_repo","pending","JNU 浏览器拦截/接口观察"
"P1","same_stack","Weeye-hua/SZU-Course-Help","https://github.com/Weeye-hua/SZU-Course-Help.git","github_repo","pending","SZU 现代 xsxkapp 实现"
"P1","same_stack","Lewin671/YourLesson","https://github.com/Lewin671/YourLesson.git","github_repo","pending","SZU 登录/课程/志愿模块"
"P1","same_stack","ANDYWANGTIANTIAN/SZU_AutoCourseSelecter","https://github.com/ANDYWANGTIANTIAN/SZU_AutoCourseSelecter.git","github_repo","pending","SZU volunteer.do 调用"
"P1","same_stack","neiro-o/seuGrabber","https://github.com/neiro-o/seuGrabber.git","github_repo","pending","SEU 旧版 xsxkapp API 分层"
"P1","same_stack","AriaPokotengYe/SEU-NewSystem-catcher","https://github.com/AriaPokotengYe/SEU-NewSystem-catcher.git","github_repo","pending","SEU 新系统实现"
"P1","same_stack","WenHe233/CUC-Courses","https://github.com/WenHe233/CUC-Courses.git","github_repo","pending","CUC xsxkapp 课程接口"
"P1","same_stack","guiyi886/szu_grab_course","https://github.com/guiyi886/szu_grab_course.git","github_repo","pending","SZU 相关实现"
"P1","same_stack","chimaoshu/SZU_rush_for_lessons","https://github.com/chimaoshu/SZU_rush_for_lessons.git","github_repo","pending","SZU 相关实现"
"P1","same_stack","xzzvsxd/szu_grab_course_for_yjs","https://github.com/xzzvsxd/szu_grab_course_for_yjs.git","github_repo","pending","SZU 研究生/相邻产品线"
"P1","same_stack","MattDong123/tools4szu","https://github.com/MattDong123/tools4szu.git","github_repo","pending","SZU 工具集合中的课程模块"
"P1","adjacent","BryanHeBY/NJU_NEW_EAS_GRABER","https://github.com/BryanHeBY/NJU_NEW_EAS_GRABER.git","github_repo","pending","NJU 相关自动化"
"P1","adjacent","yyngfive/new-course-system","https://github.com/yyngfive/new-course-system.git","github_repo","pending","NJU 课程系统辅助"
"P1","adjacent","WheretoSleepinNJU/NJU-Class-Shedule-Flutter","https://github.com/WheretoSleepinNJU/NJU-Class-Shedule-Flutter.git","github_repo","pending","NJU 课表/系统域名线索"
"P1","adjacent","Mellow-Winds/NJU-Hub","https://github.com/Mellow-Winds/NJU-Hub.git","github_repo","pending","NJU ehall/xk 域名线索"
"P1","adjacent","treehey/AutoCaptcha","https://github.com/treehey/AutoCaptcha.git","github_repo","pending","验证码相邻资料；不执行"
"P1","adjacent","cells114514/JNU-","https://github.com/cells114514/JNU-.git","github_repo","pending","JNU 相邻资料"
"P1","adjacent","RyanShaw3/MyScripts","https://github.com/RyanShaw3/MyScripts.git","github_repo","pending","BIT 历史脚本集合"
"P1","adjacent","YDX-2147483647/BIT-enhanced","https://github.com/YDX-2147483647/BIT-enhanced.git","github_repo","pending","BIT 浏览器增强"
"P1","adjacent","Hz162/XJTU-Course-Genius","https://github.com/Hz162/XJTU-Course-Genius.git","github_repo","pending","XJTU xsxkapp 相邻实现"
"P1","adjacent","xjtu-wang/XJTU-Toolbox","https://github.com/xjtu-wang/XJTU-Toolbox.git","github_repo","pending","XJTU 教务工具"
"P1","adjacent","Othixx/xjtucourse","https://github.com/Othixx/xjtucourse.git","github_repo","pending","XJTU 课程实现"
"P1","adjacent","zly2006/xjtu-course","https://github.com/zly2006/xjtu-course.git","github_repo","pending","XJTU xkxf 线索"
"P1","adjacent","zly2006/xjtu-login","https://github.com/zly2006/xjtu-login.git","github_repo","pending","XJTU 登录模块"
"P1","adjacent","another-le/xjtu-tools","https://github.com/another-le/xjtu-tools.git","github_repo","pending","XJTU 推荐课程线索"
"P1","adjacent","Bocchi-Hero/xjtu-seat-monitor","https://github.com/Bocchi-Hero/xjtu-seat-monitor.git","github_repo","pending","XJTU 监控相邻实现"
"P2","adjacent","KW10-2/Gadgets","https://github.com/KW10-2/Gadgets.git","github_repo","pending","历史 CoursePyGar 资料"
"P2","adjacent","jimieguang/qiangke","https://github.com/jimieguang/qiangke.git","github_repo","pending","通用/历史抢课资料"
"P2","adjacent","Dytchem/Machine-Learning-with-Python","https://github.com/Dytchem/Machine-Learning-with-Python.git","github_repo","pending","crawler/xkfw 相邻资料"
"P2","adjacent","lvttt/xdu-course-helper","https://github.com/lvttt/xdu-course-helper.git","github_repo","pending","XDU 相邻资料"
"P2","adjacent","fe1w0/DailyClock_XDU_version","https://github.com/fe1w0/DailyClock_XDU_version.git","github_repo","pending","XDU 相邻资料"
"P2","adjacent","HeraldStudio/herald-webservice","https://github.com/HeraldStudio/herald-webservice.git","github_repo","pending","SEU WebService 相邻资料"
"P2","adjacent","KrowFeather/Prism","https://github.com/KrowFeather/Prism.git","github_repo","pending","用户线索中未给出直接说明，需人工核验"
