"collected_at","owner_repo","url","category","status","commit","message","elapsed_seconds"
"2026-08-26T03:04:04-07:00","guh0613/ehall-backend","https://github.com/guh0613/ehall-backend.git","nnu_direct","cloned","25ccfe9c573072b93e951a8f3ee48dc4c4af4ac6","","4.2"
"2026-08-26T03:04:09-07:00","XingHeYuZhuan/shiguang_warehouse","https://github.com/XingHeYuZhuan/shiguang_warehouse.git","nnu_direct","cloned","f22896e188a8748953a91515599b6ac8eba31351","","5.3"
"2026-08-26T03:04:13-07:00","ruysdv/auto-query-score-system","https://github.com/ruysdv/auto-query-score-system.git","nnu_direct","cloned","60fe1477b524ebab98ffa3132aeb12fc19e59189","","4"
"2026-08-26T03:04:17-07:00","imcuttle/njnu-quick-get-score","https://github.com/imcuttle/njnu-quick-get-score.git","nnu_direct","cloned","5a2e1e0d1e3901e79bbd0540b26d2ed9f4fd3301","","3.9"
"2026-08-26T03:04:22-07:00","HansZ8/BIT-XK-WISEDU","https://github.com/HansZ8/BIT-XK-WISEDU.git","same_stack","cloned","59ec9f143a60df6322ff792902e281da6b5b43a4","","4.6"
"2026-08-26T03:04:26-07:00","tonglinggejimo/Course-Monitor-Grabber","https://github.com/tonglinggejimo/Course-Monitor-Grabber.git","same_stack","cloned","e866930dbf56a615b834771cb780e30f4db3a5b5","","3.9"
"2026-08-26T03:04:31-07:00","davidwushi1145/YNU-xk_spider_Refactoring","https://github.com/davidwushi1145/YNU-xk_spider_Refactoring.git","same_stack","cloned","44eef278b6b63f12a3de072252c2a34aaaf4e22c","","5.1"
"2026-08-26T03:04:39-07:00","YHalo-wyh/YNU-xk_spider-Pro","https://github.com/YHalo-wyh/YNU-xk_spider-Pro.git","same_stack","cloned","90755c4aa18cc7564076511555c619c42b74eed7","","8.6"
"2026-08-26T03:04:44-07:00","starwingcc/YNU-xk_spider","https://github.com/starwingcc/YNU-xk_spider.git","same_stack","cloned","ce1161dc470a084492972bef72d6006804d5d390","","4.6"
"2026-08-26T03:04:51-07:00","GreenTeodoro839/NJU-xk-helper","https://github.com/GreenTeodoro839/NJU-xk-helper.git","same_stack","cloned","0c7339d5e806677027deebe338f18157ca4d2225","","6.8"
"2026-08-26T03:04:58-07:00","GreenTeodoro839/NJUxklogin","https://github.com/GreenTeodoro839/NJUxklogin.git","same_stack","cloned","3651f2db0792d7f5515e7e933a881619bdb7978a","","6.8"
"2026-08-26T03:05:02-07:00","TheFunny233/NJUClassGrabber","https://github.com/TheFunny233/NJUClassGrabber.git","same_stack","cloned","059b9cb1d20d1431c1db064cc67881f03b3827f3","","4.6"
"2026-08-26T03:05:07-07:00","Mr-enthalpy/NJU-auto-class-rush","https://github.com/Mr-enthalpy/NJU-auto-class-rush.git","same_stack","cloned","02eba3b1089aa090e7039deaf77a9de1f6eb8ced","","4.6"
