"owner_repo","category","signature","relative_file","line_number"
"ANDYWANGTIANTIAN/SZU_AutoCourseSelecter","01_same_stack","courseResult_do","v1\course_do.py","12"
"ANDYWANGTIANTIAN/SZU_AutoCourseSelecter","01_same_stack","xsxkapp","v1\course_do.py","12"
"ANDYWANGTIANTIAN/SZU_AutoCourseSelecter","01_same_stack","volunteer_do","v1\course_do.py","40"
"ANDYWANGTIANTIAN/SZU_AutoCourseSelecter","01_same_stack","xsxkapp","v1\course_do.py","40"
"ANDYWANGTIANTIAN/SZU_AutoCourseSelecter","01_same_stack","volunteer_do","v1\course_do.py","56"
"ANDYWANGTIANTIAN/SZU_AutoCourseSelecter","01_same_stack","xsxkapp","v1\course_do.py","56"
"ANDYWANGTIANTIAN/SZU_AutoCourseSelecter","01_same_stack","programCourse_do","v1\getCourse.py","16"
"ANDYWANGTIANTIAN/SZU_AutoCourseSelecter","01_same_stack","xsxkapp","v1\getCourse.py","16"
"ANDYWANGTIANTIAN/SZU_AutoCourseSelecter","01_same_stack","recommendedCourse_do","v1\getCourse.py","23"
"ANDYWANGTIANTIAN/SZU_AutoCourseSelecter","01_same_stack","xsxkapp","v1\getCourse.py","23"
"ANDYWANGTIANTIAN/SZU_AutoCourseSelecter","01_same_stack","programCourse_do","v1\getCourse.py","40"
"ANDYWANGTIANTIAN/SZU_AutoCourseSelecter","01_same_stack","xsxkapp","v1\getCourse.py","40"
"ANDYWANGTIANTIAN/SZU_AutoCourseSelecter","01_same_stack","programCourse_do","v1\getCourse.py","52"
"ANDYWANGTIANTIAN/SZU_AutoCourseSelecter","01_same_stack","xsxkapp","v1\getCourse.py","52"
"ANDYWANGTIANTIAN/SZU_AutoCourseSelecter","01_same_stack","programCourse_do","v1\getCourse.py","64"
"ANDYWANGTIANTIAN/SZU_AutoCourseSelecter","01_same_stack","xsxkapp","v1\getCourse.py","64"
"ANDYWANGTIANTIAN/SZU_AutoCourseSelecter","01_same_stack","programCourse_do","v1\getCourse.py","76"
"ANDYWANGTIANTIAN/SZU_AutoCourseSelecter","01_same_stack","xsxkapp","v1\getCourse.py","76"
"ANDYWANGTIANTIAN/SZU_AutoCourseSelecter","01_same_stack","programCourse_do","v1\getCourse.py","88"
"ANDYWANGTIANTIAN/SZU_AutoCourseSelecter","01_same_stack","xsxkapp","v1\getCourse.py","88"
"ANDYWANGTIANTIAN/SZU_AutoCourseSelecter","01_same_stack","vcode_do","v1\login.py","12"
"ANDYWANGTIANTIAN/SZU_AutoCourseSelecter","01_same_stack","xsxkapp","v1\login.py","12"
