"owner_repo","category","commit","file_count","xsxkapp_files","volunteer_do_files","vcode_do_files","recommendedCourse_do_files","publicCourse_do_files","programCourse_do_files","xkxf_do_files","nnu_domain_files","njnu_domain_files","token_cookie_files"
"guh0613/ehall-backend","00_nnu_direct","25ccfe9c573072b93e951a8f3ee48dc4c4af4ac6","22","1","0","0","0","0","0","0","2","0","11"
"imcuttle/njnu-quick-get-score","00_nnu_direct","5a2e1e0d1e3901e79bbd0540b26d2ed9f4fd3301","17","0","0","0","0","0","0","0","0","8","7"
"ruysdv/auto-query-score-system","00_nnu_direct","60fe1477b524ebab98ffa3132aeb12fc19e59189","7","0","0","0","0","0","0","0","1","1","2"
"XingHeYuZhuan/shiguang_warehouse","00_nnu_direct","f22896e188a8748953a91515599b6ac8eba31351","328","0","0","0","0","0","0","0","4","3","31"
"ANDYWANGTIANTIAN/SZU_AutoCourseSelecter","01_same_stack","4b70dc46d61d2cfc01ae9612ae5e00f8b607749e","24","3","1","1","1","0","1","0","0","0","7"
"AriaPokotengYe/SEU-NewSystem-catcher","01_same_stack","97405b2e274028cbf2985c94ab4fb2ebabd8b12c","12","1","1","1","1","1","1","0","0","0","2"
"chimaoshu/SZU_rush_for_lessons","01_same_stack","fd7ca7ce92e0fc29b5edc95394cd017d5e366db9","6","1","0","0","0","0","0","0","0","0","1"
"davidwushi1145/YNU-xk_spider_Refactoring","01_same_stack","44eef278b6b63f12a3de072252c2a34aaaf4e22c","49","2","1","0","0","1","1","0","0","0","18"
"GreenTeodoro839/NJU-xk-helper","01_same_stack","0c7339d5e806677027deebe338f18157ca4d2225","19","9","5","1","0","0","0","0","0","0","13"
"GreenTeodoro839/NJUxklogin","01_same_stack","3651f2db0792d7f5515e7e933a881619bdb7978a","11","2","1","1","0","0","0","0","0","0","6"
"guiyi886/szu_grab_course","01_same_stack","f14a22a8fcddeffd2284094eb266b6611866b8f6","23","4","2","1","3","0","1","0","0","0","8"
"HansZ8/BIT-XK-WISEDU","01_same_stack","59ec9f143a60df6322ff792902e281da6b5b43a4","3","1","1","1","0","0","0","0","0","0","2"
"Lewin671/YourLesson","01_same_stack","db68fbf02f4cf7a382c2a93786b8f8350bf978fd","20","4","2","1","3","0","1","0","0","0","8"
"MattDong123/tools4szu","01_same_stack","497a5d27630d48aa735806b178362a40af3226c7","31","1","0","0","0","0","0","0","0","0","12"
"mbmcmzh/JNU_CourseSnatcher","01_same_stack","fcc4ec495eed782ff75cb225bb77d3101b821f8f","19","1","2","0","0","1","0","2","0","0","6"
"Mr-enthalpy/NJU-auto-class-rush","01_same_stack","02eba3b1089aa090e7039deaf77a9de1f6eb8ced","32","2","1","1","0","0","0","0","0","0","4"
"neiro-o/seuGrabber","01_same_stack","73d1e3f08776419bd86b0ea45e30feef6baf5920","25","7","5","0","1","1","1","0","0","0","15"
"sa-y0nara/jnu-course-helper","01_same_stack","85efec4f8110f063e35d0d60ce21dd0d2f9ac917","2","1","1","0","0","0","0","0","0","0","3"
"starwingcc/YNU-xk_spider","01_same_stack","ce1161dc470a084492972bef72d6006804d5d390","9","3","1","0","0","1","1","0","0","0","4"
"TheFunny233/NJUClassGrabber","01_same_stack","059b9cb1d20d1431c1db064cc67881f03b3827f3","7","1","2","1","0","0","0","2","0","0","2"
"tonglinggejimo/Course-Monitor-Grabber","01_same_stack","e866930dbf56a615b834771cb780e30f4db3a5b5","4","2","2","1","1","0","0","0","0","0","4"
"Weeye-hua/SZU-Course-Help","01_same_stack","54ebcd18202ffaf884eb7fedf9867a32cf23b274","66","4","2","1","3","0","1","0","0","0","29"
"WenHe233/CUC-Courses","01_same_stack","4d67f47dd8288416461747b89fd38062dd60393e","4","1","2","0","0","0","0","0","0","0","4"
"xzzvsxd/szu_grab_course_for_yjs","01_same_stack","d9e932197ee540a6eaa49f2219cadda84e566141","9","1","0","0","0","0","0","0","0","0","2"
"YHalo-wyh/YNU-xk_spider-Pro","01_same_stack","90755c4aa18cc7564076511555c619c42b74eed7","33","1","2","1","3","1","2","0","0","0","10"
"another-le/xjtu-tools","02_adjacent","a859bc117ade2e1935b5c213408506b678684832","17","3","0","0","1","1","1","0","0","0","5"
"Bocchi-Hero/xjtu-seat-monitor","02_adjacent","506643c2469446cf1bde174c114531fbe2c805a6","37","2","1","0","1","1","1","1","0","0","22"
"BryanHeBY/NJU_NEW_EAS_GRABER","02_adjacent","a106bf6475595476401f4ffa1a714cc72d8a121b","4","2","1","0","0","0","0","0","0","0","2"
"cells114514/JNU-","02_adjacent","e1ebcc7502c37d57adb5130c1de02999c02fc49c","8","4","1","0","0","2","0","0","0","0","7"
"Dytchem/Machine-Learning-with-Python","02_adjacent","ef1d4eef8016b4e58b58bb10f16716b7dc32e714","101","3","1","0","0","0","0","0","0","0","14"
"fe1w0/DailyClock_XDU_version","02_adjacent","378176dc5d5ed64c773b3210a7253f1680e048ab","9","2","0","0","0","0","0","0","0","0","6"
"HeraldStudio/herald-webservice","02_adjacent","29180c4ce90a444cf74ae00d3cd561dd17292ed3","130","1","0","1","0","0","0","0","0","0","48"
"Hz162/XJTU-Course-Genius","02_adjacent","faf4235a7f00cb57617297dd0aba1acfc09cc8ad","110","5","2","0","2","2","2","2","0","0","17"
"jimieguang/qiangke","02_adjacent","fefada31a68a8463a3d669d9a97c4e99799e00f3","24","1","1","0","0","1","0","0","0","0","3"
"KrowFeather/Prism","02_adjacent","c3f3dc3f390b230846117631bfbaebbf4a8b1b9e","31","2","1","1","1","0","0","0","0","0","7"
"KW10-2/Gadgets","02_adjacent","ca5b9b38fee4c13f1007e3803c1f33bf09830302","4","2","2","0","0","0","0","0","0","0","3"
"lvttt/xdu-course-helper","02_adjacent","c3fa33b35aef82e8f6475f9e5b629182858d2b41","56","10","0","0","0","0","0","0","0","0","12"
"Mellow-Winds/NJU-Hub","02_adjacent","b3ffc3abbb36d993946183d04019bd827bcaa93c","99","2","0","0","0","0","0","0","0","0","16"
"Othixx/xjtucourse","02_adjacent","b164aad4c4161b9fc12af01c853cf68c502ef482","7","2","1","0","1","0","0","0","0","0","4"
"RyanShaw3/MyScripts","02_adjacent","8abe47df1adc70dc13389b0cc2ec301d4d3018c6","207","3","2","0","0","0","0","0","0","0","7"
"treehey/AutoCaptcha","02_adjacent","c20df009bb9717ef911241ed990c3694a25ab75b","1219","2","0","0","0","0","0","0","0","48","18"
"WheretoSleepinNJU/NJU-Class-Shedule-Flutter","02_adjacent","bb4d3d16a2368a09e414f88919a53c799b035d50","316","4","0","0","0","0","0","0","0","0","10"
"xjtu-wang/XJTU-Toolbox","02_adjacent","2eac98c4dda3ee75b528245db6a559b716e8b43c","19","1","1","0","0","0","0","0","0","0","3"
"YDX-2147483647/BIT-enhanced","02_adjacent","900d2e6c5cc1cdb2209ca5b1cb8c9bc0ff8a2d90","87","3","0","0","0","0","0","0","0","0","5"
"yyngfive/new-course-system","02_adjacent","4ca3d9a5ab58d02d84fd58bc89616c2fbfc006a9","7","1","0","1","0","0","2","0","0","0","3"
"zly2006/xjtu-course","02_adjacent","32cec94b1a09e85afe62f0e0fbc6d2e872b972e0","4","1","0","1","0","0","0","1","0","0","3"
"zly2006/xjtu-login","02_adjacent","c749ac9260e8615cb3e7f5ac19086628a8655d99","12","2","1","0","0","0","1","0","0","0","6"
