"owner_repo","category","origin","commit","commit_date","file_count","source_bytes","readme","license_file","manifests"
"guh0613/ehall-backend","00_nnu_direct","https://github.com/guh0613/ehall-backend.git","25ccfe9c573072b93e951a8f3ee48dc4c4af4ac6","2024-08-27T23:45:00+08:00","22","41480","README.md","","pyproject.toml"
"imcuttle/njnu-quick-get-score","00_nnu_direct","https://github.com/imcuttle/njnu-quick-get-score.git","5a2e1e0d1e3901e79bbd0540b26d2ed9f4fd3301","2017-05-27T18:01:49+08:00","17","90749","README.md","","package.json"
"ruysdv/auto-query-score-system","00_nnu_direct","https://github.com/ruysdv/auto-query-score-system.git","60fe1477b524ebab98ffa3132aeb12fc19e59189","2026-01-17T19:43:32+08:00","7","42556","README.md","",""
"XingHeYuZhuan/shiguang_warehouse","00_nnu_direct","https://github.com/XingHeYuZhuan/shiguang_warehouse.git","f22896e188a8748953a91515599b6ac8eba31351","2026-08-26T17:26:25+08:00","328","2193677","README.md","LICENSE",""
"ANDYWANGTIANTIAN/SZU_AutoCourseSelecter","01_same_stack","https://github.com/ANDYWANGTIANTIAN/SZU_AutoCourseSelecter.git","4b70dc46d61d2cfc01ae9612ae5e00f8b607749e","2024-08-31T00:18:13+08:00","24","1669780","README.md","LICENSE","v2\SZU_AutoCourseSelecter\Cargo.toml"
"AriaPokotengYe/SEU-NewSystem-catcher","01_same_stack","https://github.com/AriaPokotengYe/SEU-NewSystem-catcher.git","97405b2e274028cbf2985c94ab4fb2ebabd8b12c","2019-12-20T19:39:49+08:00","12","29951786","README.md","LICENSE",""
"chimaoshu/SZU_rush_for_lessons","01_same_stack","https://github.com/chimaoshu/SZU_rush_for_lessons.git","fd7ca7ce92e0fc29b5edc95394cd017d5e366db9","2020-06-22T19:35:37+08:00","6","8934212","README.md","",""
"davidwushi1145/YNU-xk_spider_Refactoring","01_same_stack","https://github.com/davidwushi1145/YNU-xk_spider_Refactoring.git","44eef278b6b63f12a3de072252c2a34aaaf4e22c","2026-07-09T20:37:54-07:00","49","1144861","README.md","LICENSE","pyproject.toml;requirements.txt"
"GreenTeodoro839/NJU-xk-helper","01_same_stack","https://github.com/GreenTeodoro839/NJU-xk-helper.git","0c7339d5e806677027deebe338f18157ca4d2225","2026-08-25T13:40:06+08:00","19","10173009","README.md","",""
"GreenTeodoro839/NJUxklogin","01_same_stack","https://github.com/GreenTeodoro839/NJUxklogin.git","3651f2db0792d7f5515e7e933a881619bdb7978a","2026-02-26T22:05:13+08:00","11","10083518","README.md","LICENSE","pyproject.toml"
"guiyi886/szu_grab_course","01_same_stack","https://github.com/guiyi886/szu_grab_course.git","f14a22a8fcddeffd2284094eb266b6611866b8f6","2024-03-09T15:11:44+08:00","23","4577228","README.md","",""
"HansZ8/BIT-XK-WISEDU","01_same_stack","https://github.com/HansZ8/BIT-XK-WISEDU.git","59ec9f143a60df6322ff792902e281da6b5b43a4","2022-08-28T00:56:13+08:00","3","9493","Readme.md","",""
"Lewin671/YourLesson","01_same_stack","https://github.com/Lewin671/YourLesson.git","db68fbf02f4cf7a382c2a93786b8f8350bf978fd","2021-06-19T20:18:21+08:00","20","645035","README.md","",""
"MattDong123/tools4szu","01_same_stack","https://github.com/MattDong123/tools4szu.git","497a5d27630d48aa735806b178362a40af3226c7","2026-01-23T01:34:26+08:00","31","306482","README.md","",""
"mbmcmzh/JNU_CourseSnatcher","01_same_stack","https://github.com/mbmcmzh/JNU_CourseSnatcher.git","fcc4ec495eed782ff75cb225bb77d3101b821f8f","2026-06-11T17:45:57+08:00","19","75255","README.md","","pyproject.toml;requirements.txt"
"Mr-enthalpy/NJU-auto-class-rush","01_same_stack","https://github.com/Mr-enthalpy/NJU-auto-class-rush.git","02eba3b1089aa090e7039deaf77a9de1f6eb8ced","2026-03-02T23:41:13+08:00","32","6341449","README.md","",""
"neiro-o/seuGrabber","01_same_stack","https://github.com/neiro-o/seuGrabber.git","73d1e3f08776419bd86b0ea45e30feef6baf5920","2018-12-21T00:17:38+09:00","25","1128954","README.md","",""
"sa-y0nara/jnu-course-helper","01_same_stack","https://github.com/sa-y0nara/jnu-course-helper.git","85efec4f8110f063e35d0d60ce21dd0d2f9ac917","2025-06-22T23:44:54+08:00","2","24208","README.md","",""
"starwingcc/YNU-xk_spider","01_same_stack","https://github.com/starwingcc/YNU-xk_spider.git","ce1161dc470a084492972bef72d6006804d5d390","2026-02-18T11:55:36+08:00","9","120887","README.md","",""
