"Key","Actions","Occurrences","ExampleReferences","ValueHandling"
"bookParam","getItem/setItem","24","选课/选课_files/grablessons.js:379; 选课/选课_files/grablessons.js:731; 选课/选课_files/grablessons.js:1609; 选课/选课_files/grablessons.js:1670; 选课/选课_files/grablessons.js:4664; 选课/选课_files/selectedcourse.js:131","JSON/string state; value excluded"
"campusList","getItem","6","选课/选课_files/grablessons.js:5426; 选课/选课_files/sidebar.js:590; 选课点击后/选课点击后_files/grablessons.js:5426; 选课点击后/选课点击后_files/sidebar.js:590; 选课失败弹窗/选课失败弹窗_files/grablessons.js:5426; 选课失败弹窗/选课失败弹窗_files/sidebar.js:590","JSON/string state; value excluded"
"celebrityFamous","getItem","6","选课/选课_files/selectedcourse.js:41; 选课/选课_files/xsxkpub.js:33; 选课点击后/选课点击后_files/selectedcourse.js:41; 选课点击后/选课点击后_files/xsxkpub.js:33; 选课失败弹窗/选课失败弹窗_files/selectedcourse.js:41; 选课失败弹窗/选课失败弹窗_files/xsxkpub.js:33","JSON/string state; value excluded"
"copyright","getItem","3","选课/选课_files/xsxkpub.js:6; 选课点击后/选课点击后_files/xsxkpub.js:6; 选课失败弹窗/选课失败弹窗_files/xsxkpub.js:6","JSON/string state; value excluded"
"currentBatch","getItem/removeItem/setItem","30","选课/选课_files/departurelog.js:14; 选课/选课_files/grablessons.js:2648; 选课/选课_files/grablessons.js:4642; 选课/选课_files/selectedcourse.js:13; 选课/选课_files/sidebar.js:111; 选课/选课_files/sidebar.js:153","JSON/string state; value excluded"
"currentCampus","getItem/setItem","30","选课/选课_files/departurelog.js:21; 选课/选课_files/grablessons.js:2774; 选课/选课_files/grablessons.js:2786; 选课/选课_files/grablessons.js:2908; 选课/选课_files/grablessons.js:4357; 选课/选课_files/grablessons.js:4600","JSON/string state; value excluded"
"dictionary","getItem","15","选课/选课_files/grablessons.js:5505; 选课/选课_files/grablessons.js:5521; 选课/选课_files/grablessons.js:5537; 选课/选课_files/grablessons.js:5553; 选课/选课_files/grablessons.js:5923; 选课点击后/选课点击后_files/grablessons.js:5505","JSON/string state; value excluded"
"electiveIsOpen","getItem/setItem","63","选课/选课_files/grablessons.js:537; 选课/选课_files/grablessons.js:544; 选课/选课_files/grablessons.js:702; 选课/选课_files/grablessons.js:709; 选课/选课_files/grablessons.js:868; 选课/选课_files/grablessons.js:875","JSON/string state; value excluded"
"isInitStep","setItem","3","选课/选课_files/grablessons.js:5119; 选课点击后/选课点击后_files/grablessons.js:5119; 选课失败弹窗/选课失败弹窗_files/grablessons.js:5119","JSON/string state; value excluded"
"studentInfo","getItem/removeItem/setItem","252","选课/选课_files/departurelog.js:43; 选课/选课_files/departurelog.js:65; 选课/选课_files/grablessons.js:301; 选课/选课_files/grablessons.js:538; 选课/选课_files/grablessons.js:631; 选课/选课_files/grablessons.js:703","JSON/string state; value excluded"
"sysParam","getItem","84","选课/选课_files/departurelog.js:13; 选课/选课_files/departurelog.js:145; 选课/选课_files/grablessons.js:92; 选课/选课_files/grablessons.js:630; 选课/选课_files/grablessons.js:726; 选课/选课_files/grablessons.js:764","JSON/string state; value excluded"
"teachingClassType","getItem/setItem","63","选课/选课_files/departurelog.js:22; 选课/选课_files/grablessons.js:316; 选课/选课_files/grablessons.js:895; 选课/选课_files/grablessons.js:2837; 选课/选课_files/grablessons.js:2907; 选课/选课_files/grablessons.js:3021","JSON/string state; value excluded"
"token","getItem/removeItem/setItem","132","选课/选课_files/departurelog.js:64; 选课/选课_files/grablessons.js:832; 选课/选课_files/grablessons.js:1012; 选课/选课_files/grablessons.js:2567; 选课/选课_files/grablessons.js:2628; 选课/选课_files/grablessons.js:2646","session-only; value excluded"
