"Snapshot","ArticleId","Rows","ChosenStates","FullStates"
"选课","cvRecommendCourse","10","4","0"
"选课","cvProgramCourse","0","0","0"
"选课","cvUnProgramCourse","0","0","0"
"选课","cvPublicCourse","7","0","7"
"选课","cvRetakeCourse","0","0","0"
"选课","cvSportCourse","0","0","0"
"选课","cvMinorCourse","0","0","0"
"选课","cvMicroCourse","0","0","0"
"选课","cvSchoolCourse","0","0","0"
"选课点击后","cvRecommendCourse","10","4","0"
"选课点击后","cvProgramCourse","0","0","0"
"选课点击后","cvUnProgramCourse","0","0","0"
"选课点击后","cvPublicCourse","7","0","7"
"选课点击后","cvRetakeCourse","0","0","0"
"选课点击后","cvSportCourse","0","0","0"
"选课点击后","cvMinorCourse","0","0","0"
"选课点击后","cvMicroCourse","0","0","0"
"选课点击后","cvSchoolCourse","0","0","0"
"选课失败弹窗","cvRecommendCourse","10","4","0"
"选课失败弹窗","cvProgramCourse","0","0","0"
"选课失败弹窗","cvUnProgramCourse","0","0","0"
"选课失败弹窗","cvPublicCourse","7","0","7"
"选课失败弹窗","cvRetakeCourse","0","0","0"
"选课失败弹窗","cvSportCourse","0","0","0"
"选课失败弹窗","cvMinorCourse","0","0","0"
"选课失败弹窗","cvMicroCourse","0","0","0"
"选课失败弹窗","cvSchoolCourse","0","0","0"
