"Stage","Module","Function","Method","Endpoint","RequestShape","AuthState","ResponseTransition","Evidence","Confidence"
"bootstrap","indexBS.js","queryStudentInformation","GET","/sys/xsxkapp/student/{studentCode}.do","student code in path + timestamp","token header","populate studentInfo/electiveBatch context","选课点击后/选课点击后_files/indexBS.js:2-10","direct-local"
"bootstrap","indexBS.js","queryTestBatch","GET","/sys/xsxkapp/elective/batch.do","timestamp","no explicit token argument","available elective batches","选课点击后/选课点击后_files/indexBS.js:23-30","direct-local"
"bootstrap","indexBS.js","querySysParam","GET sync","/sys/xsxkapp/publicinfo/sysparam.do","timestamp; synchronous AJAX","no explicit token argument","feature/menu/textbook switches","选课点击后/选课点击后_files/indexBS.js:50-56","direct-local"
"bootstrap","loginInUserRegister.js","loginInUserRegister","GET","/sys/xsxkapp/student/register.do","number query parameter","session established by SSO page","store token and studentInfo when registration succeeds","选课点击后/选课点击后_files/loginInUserRegister.js:1-53","direct-local"
"bootstrap","indexBS.js","queryVocdeToken","GET","/sys/xsxkapp/student/4/vcode.do","timestamp","no explicit token argument","captcha/token precondition","选课点击后/选课点击后_files/indexBS.js:91-97","direct-local"
"menu","grablessons.js","pageHeadTabChange/initMenuControl","local","course-type tabs","teachingClassType in sessionStorage","currentBatch + sysParam","dispatch listInit for each course category","选课点击后/选课点击后_files/grablessons.js:2824-2886; 4641-4703","direct-local"
"query","xsxkpub.js","queryRecommendedCourse","POST","/sys/xsxkapp/elective/recommendedCourse.do","querySetting","token header","render recommended course rows/cards","选课点击后/选课点击后_files/xsxkpub.js:77-85","direct-local"
"query","xsxkpub.js","queryProgramCourse","POST","/sys/xsxkapp/elective/programCourse.do","querySetting","token header","render plan/unplan/retake/sport/minor/micro rows","选课点击后/选课点击后_files/xsxkpub.js:115-123","direct-local"
"query","xsxkpub.js","queryPublicCourse","POST","/sys/xsxkapp/elective/publicCourse.do","querySetting","token header","render public-course table","选课点击后/选课点击后_files/xsxkpub.js:102-110","direct-local"
"query","xsxkpub.js","queryCourseData","POST","/sys/xsxkapp/elective/queryCourse.do","querySetting","token header","render all-school query rows","选课点击后/选课点击后_files/xsxkpub.js:222-230","direct-local"
"query","grablessons.js","buildQueryTCParam","local","querySetting wrapper","studentCode,campus,electiveBatchCode,isMajor,teachingClassType,queryContent,pageSize,pageNumber,order","sessionStorage studentInfo/currentCampus","typed filter prefixes and list endpoint selected","选课点击后/选课点击后_files/grablessons.js:4346-4588","direct-local"
"guard","grablessons.js","selectPublicCourse/checkSfkxqSelect","local","/sys/xsxkapp/elective/batchisopen.do (fallback check)","xklcdm; campus/teaching-campus attributes","sessionStorage currentBatch/sysParam/studentInfo","open/campus/conflict checks before operation","选课点击后/选课点击后_files/grablessons.js:624-712","direct-local"
"guard","xsxkpub.js","querySfCanChoose","GET","/sys/xsxkapp/util/canchoose.do","xh,jxbid,xklcdm,timestamp","token header","eligibility check","选课点击后/选课点击后_files/xsxkpub.js:266-275","direct-local"
"mutate","grablessons.js","buildAddVolunteerParam/addVolunteer","POST","/sys/xsxkapp/elective/volunteer.do","addParam wrapping data: operationType=1, studentCode, electiveBatchCode, teachingClassId, isMajor, campus, teachingClassType, optional needBook/testTeachingClassID","token header + browser session","code=1 means accepted for asynchronous processing","选课点击后/选课点击后_files/grablessons.js:4596-4637; xsxkpub.js:142-150","direct-local"
"mutate","xsxkpub.js","queryOperateProcess/initProcessInterval","POST","/sys/xsxkapp/elective/studentstatus.do","studentCode","token header + browser session","code=1 success, code=-1 failure, otherwise retry about once per second up to ten attempts","选课点击后/选课点击后_files/xsxkpub.js:407-461","direct-local"
"mutate","grablessons.js","deleteVolunteer/deleteVolunteerResult","GET","/sys/xsxkapp/elective/deleteVolunteer.do","deleteParam wrapping data: operationType=2, studentCode, electiveBatchCode, teachingClassId, isMajor","token header + browser session","accepted response then same status polling; refresh row/capacity/count","选课点击后/选课点击后_files/grablessons.js:2584-2637; selectedcourseBS.js:18-28","direct-local"
"refresh","grablessonsBS.js","queryTeachingClassCapacity/flushTeachingClassCapacity","GET","/sys/xsxkapp/elective/teachingclass/capacity.do","teachingClassId,capacitySuffix,xh,timestamp","token header","update full/remaining/gender capacity in DOM","选课点击后/选课点击后_files/grablessonsBS.js:4-14; grablessons.js:5253-5338","direct-local"
"result","selectedcourseBS.js","queryChooseCourse","GET","/sys/xsxkapp/elective/courseResult.do","studentCode,electiveBatchCode,timestamp","token header","render selected result and count non-test rows","选课点击后/选课点击后_files/selectedcourseBS.js:4-16; grablessons.js:5226-5247","direct-local"
"result","departurelogBS.js","queryStudentReturnResults","GET","/sys/xsxkapp/elective/returnResults.do","studentCode,electiveBatchCode,timestamp","token header","render operation/withdrawal result log","选课点击后/选课点击后_files/departurelogBS.js:1-10; departurelog.js:41-70","direct-local"
"state","bh_utils.js","BH_UTILS.doAjax","generic","all wrapped endpoints","jQuery AJAX data object; JSON response","caller-supplied headers, usually token","redirect on loginURL; reject on transport errors","选课点击后/选课点击后_files/bh_utils.js:338-400","direct-local"
